ClientID,Cluster
MT_001,2
MT_002,3
MT_003,4
MT_004,2
MT_005,2
MT_006,2
MT_007,2
MT_008,1
MT_009,2
MT_010,1
MT_011,2
MT_012,1
MT_013,0
MT_014,0
MT_015,1
MT_016,2
MT_017,1
MT_018,1
MT_019,2
MT_020,2
MT_021,1
MT_022,1
MT_023,2
MT_024,1
MT_025,2
MT_026,2
MT_027,2
MT_028,2
MT_029,3
MT_030,2
MT_031,2
MT_032,2
MT_033,1
MT_034,2
MT_035,2
MT_036,0
MT_037,2
MT_038,3
MT_039,2
MT_040,2
MT_041,2
MT_042,2
MT_043,1
MT_044,2
MT_045,3
MT_046,2
MT_047,1
MT_048,2
MT_049,2
MT_050,1
MT_051,2
MT_052,2
MT_053,2
MT_054,2
MT_055,2
MT_056,2
MT_057,1
MT_058,2
MT_059,2
MT_060,2
MT_061,2
MT_062,2
MT_063,2
MT_064,3
MT_065,2
MT_066,2
MT_067,2
MT_068,1
MT_069,2
MT_070,2
MT_071,2
MT_072,2
MT_073,2
MT_074,2
MT_075,2
MT_076,2
MT_077,0
MT_078,2
MT_079,2
MT_080,2
MT_081,2
MT_082,1
MT_083,2
MT_084,0
MT_085,2
MT_086,2
MT_087,2
MT_088,2
MT_089,2
MT_090,0
MT_091,0
MT_092,0
MT_093,0
MT_094,0
MT_095,3
MT_096,0
MT_097,0
MT_098,1
MT_099,1
MT_100,0
MT_101,1
MT_102,4
MT_103,1
MT_104,1
MT_105,1
MT_114,2
MT_118,1
MT_119,1
MT_123,0
MT_124,2
MT_125,1
MT_126,1
MT_127,0
MT_128,3
MT_129,3
MT_130,4
MT_131,4
MT_132,4
MT_134,0
MT_135,3
MT_136,3
MT_137,3
MT_138,3
MT_139,3
MT_140,0
MT_141,0
MT_142,1
MT_143,1
MT_144,1
MT_145,0
MT_146,1
MT_147,0
MT_148,0
MT_149,4
MT_150,1
MT_151,0
MT_152,0
MT_153,0
MT_154,1
MT_155,0
MT_156,1
MT_157,1
MT_158,2
MT_159,2
MT_161,4
MT_162,2
MT_163,3
MT_164,4
MT_165,3
MT_166,3
MT_167,3
MT_168,3
MT_169,3
MT_170,3
MT_171,3
MT_172,3
MT_173,3
MT_174,3
MT_175,3
MT_176,3
MT_177,3
MT_179,3
MT_180,3
MT_182,3
MT_183,3
MT_184,3
MT_185,0
MT_186,3
MT_187,3
MT_188,3
MT_189,3
MT_190,1
MT_191,3
MT_192,3
MT_193,3
MT_194,3
MT_195,3
MT_196,3
MT_197,3
MT_198,3
MT_199,3
MT_200,3
MT_201,3
MT_202,3
MT_203,1
MT_204,3
MT_205,3
MT_206,3
MT_207,3
MT_208,3
MT_209,3
MT_210,3
MT_211,3
MT_212,3
MT_213,3
MT_214,3
MT_215,3
MT_216,1
MT_217,1
MT_218,3
MT_219,3
MT_220,3
MT_221,3
MT_222,1
MT_223,3
MT_224,3
MT_225,3
MT_226,1
MT_227,3
MT_228,1
MT_229,3
MT_230,3
MT_231,3
MT_232,3
MT_233,3
MT_234,3
MT_235,3
MT_236,3
MT_237,3
MT_238,3
MT_239,3
MT_240,3
MT_241,3
MT_242,3
MT_243,3
MT_244,3
MT_245,3
MT_246,3
MT_247,3
MT_248,3
MT_249,3
MT_250,3
MT_251,3
MT_252,3
MT_253,3
MT_254,3
MT_255,3
MT_256,3
MT_257,3
MT_258,3
MT_259,3
MT_260,3
MT_261,3
MT_262,3
MT_263,3
MT_264,3
MT_265,3
MT_266,3
MT_267,3
MT_268,3
MT_269,3
MT_270,3
MT_271,3
MT_272,3
MT_273,3
MT_274,3
MT_275,3
MT_276,3
MT_277,3
MT_278,3
MT_279,3
MT_280,3
MT_281,3
MT_282,3
MT_283,3
MT_284,3
MT_285,3
MT_286,3
MT_287,3
MT_288,3
MT_289,3
MT_290,3
MT_291,3
MT_292,3
MT_293,3
MT_294,3
MT_295,3
MT_296,3
MT_297,3
MT_298,3
MT_299,3
MT_300,3
MT_301,3
MT_302,3
MT_303,3
MT_304,3
MT_305,3
MT_306,3
MT_307,3
MT_308,3
MT_309,3
MT_310,3
MT_311,3
MT_312,3
MT_313,3
MT_314,3
MT_315,3
MT_316,3
MT_317,3
MT_318,3
MT_319,3
MT_320,3
MT_321,3
MT_322,3
MT_323,3
MT_324,3
MT_325,3
MT_326,3
MT_327,3
MT_328,3
MT_329,3
MT_330,3
MT_331,3
MT_332,0
MT_333,1
MT_334,1
MT_335,3
MT_336,1
MT_338,3
MT_339,1
MT_340,1
MT_341,1
MT_342,1
MT_343,1
MT_344,1
MT_345,1
MT_346,1
MT_347,4
MT_348,4
MT_349,1
MT_350,1
MT_351,1
MT_352,1
MT_353,1
MT_354,1
MT_355,1
MT_356,1
MT_357,1
MT_358,1
MT_359,0
MT_360,1
MT_361,1
MT_362,1
MT_363,1
MT_364,1
MT_365,1
MT_366,2
MT_367,2
MT_368,2
MT_369,1
MT_370,4
