ClientID,Consumer_Category
MT_001,Light
MT_002,Light
MT_003,Light
MT_004,Medium
MT_005,Light
MT_006,Medium
MT_007,Light
MT_008,Medium
MT_009,Light
MT_010,Light
MT_011,Light
MT_012,Medium
MT_013,Medium
MT_014,Light
MT_015,Light
MT_016,Light
MT_017,Light
MT_018,Medium
MT_019,Light
MT_020,Light
MT_021,Medium
MT_022,Light
MT_023,Light
MT_024,Light
MT_025,Medium
MT_026,Light
MT_027,Light
MT_028,Medium
MT_029,Medium
MT_030,Light
MT_031,Medium
MT_032,Light
MT_033,Light
MT_034,Light
MT_035,Medium
MT_036,Light
MT_037,Medium
MT_038,Medium
MT_039,Light
MT_040,Medium
MT_041,Medium
MT_042,Light
MT_043,Heavy
MT_044,Light
MT_045,Medium
MT_046,Medium
MT_047,Light
MT_048,Light
MT_049,Heavy
MT_050,Medium
MT_051,Light
MT_052,Light
MT_053,Medium
MT_054,Medium
MT_055,Light
MT_056,Light
MT_057,Light
MT_058,Medium
MT_059,Medium
MT_060,Light
MT_061,Medium
MT_062,Light
MT_063,Light
MT_064,Heavy
MT_065,Medium
MT_066,Light
MT_067,Medium
MT_068,Medium
MT_069,Medium
MT_070,Light
MT_071,Light
MT_072,Medium
MT_073,Light
MT_074,Medium
MT_075,Light
MT_076,Light
MT_077,Light
MT_078,Light
MT_079,Light
MT_080,Light
MT_081,Medium
MT_082,Light
MT_083,Medium
MT_084,Medium
MT_085,Medium
MT_086,Heavy
MT_087,Medium
MT_088,Medium
MT_089,Medium
MT_090,Medium
MT_091,Medium
MT_092,Light
MT_093,Light
MT_094,Light
MT_095,Light
MT_096,Light
MT_097,Medium
MT_098,Heavy
MT_099,Heavy
MT_100,Light
MT_101,Heavy
MT_102,Heavy
MT_103,Heavy
MT_104,Heavy
MT_105,Medium
MT_106,Light
MT_107,Light
MT_108,Light
MT_109,Medium
MT_110,Light
MT_111,Light
MT_112,Light
MT_113,Light
MT_114,Medium
MT_115,Light
MT_116,Light
MT_117,Light
MT_118,Medium
MT_119,Medium
MT_120,Light
MT_121,Medium
MT_122,Light
MT_123,Light
MT_124,Medium
MT_125,Light
MT_126,Light
MT_127,Medium
MT_128,Medium
MT_129,Medium
MT_130,Light
MT_131,Medium
MT_132,Light
MT_133,Light
MT_134,Light
MT_135,Light
MT_136,Medium
MT_137,Medium
MT_138,Medium
MT_139,Medium
MT_140,Medium
MT_141,Light
MT_142,Light
MT_143,Medium
MT_144,Medium
MT_145,Medium
MT_146,Medium
MT_147,Heavy
MT_148,Medium
MT_149,Light
MT_150,Light
MT_151,Medium
MT_152,Heavy
MT_153,Medium
MT_154,Light
MT_155,Medium
MT_156,Medium
MT_157,Heavy
MT_158,Medium
MT_159,Light
MT_160,Light
MT_161,Heavy
MT_162,Medium
MT_163,Heavy
MT_164,Medium
MT_165,Medium
MT_166,Heavy
MT_167,Medium
MT_168,Medium
MT_169,Light
MT_170,Medium
MT_171,Medium
MT_172,Medium
MT_173,Light
MT_174,Medium
MT_175,Medium
MT_176,Medium
MT_177,Medium
MT_178,Heavy
MT_179,Medium
MT_180,Medium
MT_181,Medium
MT_182,Light
MT_183,Medium
MT_184,Medium
MT_185,Medium
MT_186,Heavy
MT_187,Light
MT_188,Light
MT_189,Heavy
MT_190,Medium
MT_191,Heavy
MT_192,Heavy
MT_193,Medium
MT_194,Heavy
MT_195,Heavy
MT_196,Heavy
MT_197,Medium
MT_198,Medium
MT_199,Heavy
MT_200,Heavy
MT_201,Medium
MT_202,Medium
MT_203,Heavy
MT_204,Heavy
MT_205,Heavy
MT_206,Medium
MT_207,Heavy
MT_208,Heavy
MT_209,Heavy
MT_210,Heavy
MT_211,Medium
MT_212,Medium
MT_213,Heavy
MT_214,Medium
MT_215,Heavy
MT_216,Heavy
MT_217,Medium
MT_218,Heavy
MT_219,Heavy
MT_220,Heavy
MT_221,Medium
MT_222,Heavy
MT_223,Medium
MT_224,Heavy
MT_225,Medium
MT_226,Heavy
MT_227,Medium
MT_228,Heavy
MT_229,Heavy
MT_230,Medium
MT_231,Heavy
MT_232,Medium
MT_233,Medium
MT_234,Medium
MT_235,Heavy
MT_236,Medium
MT_237,Medium
MT_238,Heavy
MT_239,Medium
MT_240,Medium
MT_241,Heavy
MT_242,Medium
MT_243,Medium
MT_244,Medium
MT_245,Medium
MT_246,Heavy
MT_247,Heavy
MT_248,Medium
MT_249,Medium
MT_250,Medium
MT_251,Medium
MT_252,Medium
MT_253,Medium
MT_254,Medium
MT_255,Heavy
MT_256,Medium
MT_257,Medium
MT_258,Medium
MT_259,Medium
MT_260,Medium
MT_261,Light
MT_262,Medium
MT_263,Medium
MT_264,Medium
MT_265,Medium
MT_266,Medium
MT_267,Medium
MT_268,Medium
MT_269,Heavy
MT_270,Medium
MT_271,Medium
MT_272,Medium
MT_273,Heavy
MT_274,Medium
MT_275,Medium
MT_276,Heavy
MT_277,Medium
MT_278,Medium
MT_279,Heavy
MT_280,Medium
MT_281,Medium
MT_282,Medium
