ClientID,Consumer_Category
MT_001,Micro
MT_002,Light
MT_003,Micro
MT_004,Medium
MT_005,Light
MT_006,Medium
MT_007,Micro
MT_008,Medium
MT_009,Light
MT_010,Light
MT_011,Light
MT_012,Light
MT_013,Light
MT_014,Light
MT_015,Micro
MT_016,Light
MT_017,Light
MT_018,Medium
MT_019,Micro
MT_020,Light
MT_021,Medium
MT_022,Light
MT_023,Micro
MT_024,Light
MT_025,Medium
MT_026,Micro
MT_027,Micro
MT_028,Light
MT_029,Light
MT_030,Micro
MT_031,Medium
MT_032,Micro
MT_033,Light
MT_034,Micro
MT_035,Medium
MT_036,Light
MT_037,Medium
MT_038,Medium
MT_039,Micro
MT_040,Medium
MT_041,Light
MT_042,Light
MT_043,Heavy
MT_044,Light
MT_045,Medium
MT_046,Medium
MT_047,Light
MT_048,Micro
MT_049,Heavy
MT_050,Medium
MT_051,Light
MT_052,Light
MT_053,Light
MT_054,Light
MT_055,Light
MT_056,Light
MT_057,Light
MT_058,Medium
MT_059,Medium
MT_060,Light
MT_061,Light
MT_062,Light
MT_063,Light
MT_064,Heavy
MT_065,Light
MT_066,Light
MT_067,Medium
MT_068,Medium
MT_069,Medium
MT_070,Light
MT_071,Light
MT_072,Medium
MT_073,Light
MT_074,Medium
MT_075,Light
MT_076,Light
MT_077,Light
MT_078,Light
MT_079,Light
MT_080,Micro
MT_081,Medium
MT_082,Light
MT_083,Light
MT_084,Medium
MT_085,Medium
MT_086,Heavy
MT_087,Medium
MT_088,Medium
MT_089,Medium
MT_090,Medium
MT_091,Medium
MT_092,Light
MT_093,Light
MT_094,Light
MT_095,Micro
MT_096,Micro
MT_097,Medium
MT_098,Heavy
MT_099,Heavy
MT_100,Light
MT_101,Heavy
MT_102,Heavy
MT_103,Heavy
MT_104,Heavy
MT_105,Medium
MT_106,Micro
MT_107,Micro
MT_108,Micro
MT_109,Micro
MT_110,Micro
MT_111,Micro
MT_112,Micro
MT_113,Micro
MT_114,Heavy
MT_115,Micro
MT_116,Micro
MT_117,Micro
MT_118,Medium
MT_119,Light
MT_120,Micro
MT_121,Light
MT_122,Micro
MT_123,Light
MT_124,Heavy
MT_125,Light
MT_126,Light
MT_127,Light
MT_128,Medium
MT_129,Medium
MT_130,Light
MT_131,Medium
MT_132,Micro
MT_133,Micro
MT_134,Micro
MT_135,Light
MT_136,Medium
MT_137,Light
MT_138,Medium
MT_139,Heavy
MT_140,Light
MT_141,Micro
MT_142,Light
MT_143,Medium
MT_144,Medium
MT_145,Light
MT_146,Light
MT_147,Mega
MT_148,Heavy
MT_149,Light
MT_150,Light
MT_151,Medium
MT_152,Heavy
MT_153,Medium
MT_154,Light
MT_155,Medium
MT_156,Medium
MT_157,Mega
MT_158,Medium
MT_159,Light
MT_160,Micro
MT_161,Mega
MT_162,Heavy
MT_163,Mega
MT_164,Medium
MT_165,Light
MT_166,Mega
MT_167,Light
MT_168,Medium
MT_169,Light
MT_170,Light
MT_171,Heavy
MT_172,Medium
MT_173,Light
MT_174,Medium
MT_175,Medium
MT_176,Medium
MT_177,Medium
MT_178,Light
MT_179,Light
MT_180,Medium
MT_181,Light
MT_182,Light
MT_183,Medium
MT_184,Light
MT_185,Light
MT_186,Medium
MT_187,Light
MT_188,Light
MT_189,Heavy
MT_190,Heavy
MT_191,Mega
MT_192,Heavy
MT_193,Heavy
MT_194,Mega
MT_195,Heavy
MT_196,Mega
MT_197,Medium
MT_198,Heavy
MT_199,Heavy
MT_200,Heavy
MT_201,Heavy
MT_202,Heavy
MT_203,Heavy
MT_204,Heavy
MT_205,Heavy
MT_206,Medium
MT_207,Heavy
MT_208,Mega
MT_209,Heavy
MT_210,Heavy
MT_211,Medium
MT_212,Heavy
MT_213,Mega
MT_214,Heavy
MT_215,Heavy
MT_216,Mega
MT_217,Medium
MT_218,Mega
MT_219,Heavy
MT_220,Mega
MT_221,Medium
MT_222,Heavy
MT_223,Heavy
MT_224,Mega
MT_225,Heavy
MT_226,Heavy
MT_227,Heavy
MT_228,Mega
MT_229,Heavy
MT_230,Medium
MT_231,Heavy
MT_232,Medium
MT_233,Medium
MT_234,Medium
MT_235,Heavy
MT_236,Medium
MT_237,Medium
MT_238,Heavy
MT_239,Medium
MT_240,Heavy
MT_241,Mega
MT_242,Medium
MT_243,Medium
MT_244,Medium
MT_245,Medium
MT_246,Heavy
MT_247,Heavy
MT_248,Medium
MT_249,Medium
MT_250,Medium
MT_251,Medium
MT_252,Heavy
MT_253,Heavy
MT_254,Heavy
MT_255,Heavy
MT_256,Medium
MT_257,Medium
MT_258,Medium
MT_259,Medium
MT_260,Medium
MT_261,Light
MT_262,Medium
MT_263,Medium
MT_264,Medium
MT_265,Medium
MT_266,Heavy
MT_267,Medium
MT_268,Heavy
MT_269,Heavy
MT_270,Medium
MT_271,Medium
MT_272,Medium
MT_273,Heavy
MT_274,Heavy
MT_275,Medium
MT_276,Mega
MT_277,Medium
MT_278,Medium
MT_279,Mega
MT_280,Heavy
MT_281,Medium
MT_282,Medium
MT_283,Heavy
MT_284,Medium
MT_285,Medium
MT_286,Medium
MT_287,Medium
MT_288,Medium
MT_289,Light
MT_290,Heavy
MT_291,Medium
MT_292,Heavy
MT_293,Medium
MT_294,Heavy
MT_295,Heavy
MT_296,Medium
MT_297,Medium
MT_298,Heavy
MT_299,Heavy
MT_300,Medium
MT_301,Medium
MT_302,Medium
MT_303,Medium
MT_304,Medium
MT_305,Light
MT_306,Medium
MT_307,Heavy
MT_308,Medium
MT_309,Medium
MT_310,Heavy
MT_311,Medium
MT_312,Heavy
MT_313,Heavy
MT_314,Mega
MT_315,Medium
MT_316,Heavy
MT_317,Heavy
MT_318,Medium
MT_319,Medium
MT_320,Medium
MT_321,Medium
MT_322,Light
MT_323,Mega
MT_324,Heavy
MT_325,Heavy
MT_326,Heavy
MT_327,Heavy
MT_328,Mega
MT_329,Medium
MT_330,Medium
MT_331,Medium
MT_332,Light
MT_333,Medium
MT_334,Light
